530
Dataset measured at BL04B2
26.3 1.09572 0.0678328 0.384206 0.547962 
26.35 1.18303 0.0675833 0.383742 0.548674 
26.4 1.00671 0.0673346 0.383279 0.549387 
26.45 1.01989 0.0670868 0.382815 0.550098 
26.5 0.902905 0.06684 0.382352 0.550808 
26.55 1.03919 0.066594 0.381888 0.551518 
26.6 0.878697 0.066349 0.381424 0.552227 
26.65 0.728386 0.0661049 0.38096 0.552935 
26.7 0.975082 0.0658616 0.380496 0.553642 
26.75 0.965856 0.0656193 0.380032 0.554348 
26.8 0.736582 0.0653779 0.379569 0.555054 
26.85 1.02344 0.0651374 0.379105 0.555758 
26.9 0.785335 0.0648978 0.378641 0.556461 
26.95 0.746693 0.0646591 0.378177 0.557164 
